business_name,country,city,zone,reason,matched_existing_record,matched_source_file,source_url
León query,Mexico,León,Campestre/Gran Jardín/Punta del Este,Overpass query failed: Overpass request failed: The read operation timed out,,,
Imanic Lentes,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,http://www.imanic.com.mx/,,https://www.openstreetmap.org/node/2810164570
Son Pastes,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4726829207
Huaraches el Zacatecano,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4726835530
La Cocina del Buen Sabor,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4736468929
El Chenchere,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4740106784
El Rincón Tarasco,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4747583933
Los Pericos,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4749162034
Restaurante Familiar Antonios,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4749174086
Piacere,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4749200048
Instituto de Alergias y Autoinmunidad Dr. Maximiliano Ruiz Castañeda A. C.,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4749280072
Elotes y Esquites,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4749328527
Pollo Broaster,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4749341845
Carnitas los primos,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4888099498
Taqueria El Gato,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/4915240682
Densonrisas,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://densonrisas.com/,,https://www.openstreetmap.org/node/5879485469
Jengibre Healthy Food,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,http://www.jengibrehealthyfood.com,,https://www.openstreetmap.org/node/7774615349
El Muelle Bistrot,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://el-muelle-bistro.negocio.site/,,https://www.openstreetmap.org/node/7885700485
PIZZAS ALEX'S,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,pizzasalexs.com,,https://www.openstreetmap.org/node/9488389350
Sanatorio México,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://sanatoriomexico.com/,,https://www.openstreetmap.org/node/12508590905
Creando Sonrisas,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.oiedent.com,,https://www.openstreetmap.org/node/12513238497
Start Dental,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.stardentaltoluca.com,,https://www.openstreetmap.org/node/12513266171
Dental Clinic,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/12517362207
Centro De Terapias Alternativas,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.sanaar.com,,https://www.openstreetmap.org/node/12521351554
Proslime,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/12521911930
Dermabell,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.dermabell.com,,https://www.openstreetmap.org/node/12522002497
Centro de aprendizaje Froggin,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.froggin.com.mx/metepec,,https://www.openstreetmap.org/node/12522139147
Centro Tikun Psicoterapia,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.tikunweb.com,,https://www.openstreetmap.org/node/12529650525
Dental Smile,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/12530542917
Consultorio Medico Ginecologia,Mexico,Metepec,Metepec/Toluca premium,No coincide con formato mexicano esperado.,,,https://www.openstreetmap.org/node/12535347349
